"","ID","Verb","PredType","Embedding","Context","Target","target.LMEDS","Turk.MatrixOrComplement","CollapsedProminence","Mean","sd","variance"
"78",98,"think","Non-Factive","negation","B: Well, I was never there for any sentencing. Uh, I finally got empaneled on one case, uh, on my next to the last day, and, uh, we got into the, uh, jury room to, uh, decide the case, and there was one guy on the jury who announced to everybody that he didn't need to deliberate, because he'd already decided that the guy was, uh, not guilty, and he would never vote for guilty. A: Huh. B: So, uh, they appointed me jury foreman","and I, uh, didn't think that, uh, going in without deliberating allowed us to reach a verdict.","and I, uh, didn't think that, uh, going in without deliberating allowed us to reach a verdict.","complAll","COMPLEMENT",-1.875,1.7268882005338,2.98214285714286
"79",99,"believe","Non-Factive","negation","B: And the tanks came in and, you know, pretty much took care of that. A: Exactly. B: And, A: Yeah, uh, that, personally I don't see as Gorbachev as being maybe a threat, and I think he's actually, honestly trying to do some change. B: Uh-huh. A:","and I think he's actually, honestly trying to do some change. But I don't believe that he, in this first pass around, you know, being the first one to really turn things around or attempt to is going to be allowed to get away with it either.","But I don't believe that he, in this first pass around, you know, being the first one to really turn things around or attempt to is going to be allowed to get away with it either.","compl","COMPLEMENT",-1.09090909090909,1.70026735865542,2.89090909090909
"80",100,"convince","Non-Factive","negation","A: I think that it went up a thousand percent on most, B: Yeah. That's incredible but they had to, uh, go in the direction of a market driven economy, and they had to bite the bullet for that. So that's a good move, on Gorbachev's part in doing that. A: Uh-huh. B: So, A:","But Gorbachev has still not fully convinced everyone that, he's moving towards a two to three party system of government nor eliminating or diminishing the Communist power.","But Gorbachev has still not fully convinced everyone that, he's moving towards a two to three party system of government nor eliminating or diminishing the Communist power.","broad","BROAD",-0.333333333333333,1.22474487139159,1.5
"81",101,"think","Non-Factive","negation","A: How do you feel about gun control? B:","Well, uh, I mean I don't think that guns should be outlawed.","I don't think that guns should be outlawed.","compl","COMPLEMENT",-2.125,1.45773797371133,2.125
"82",102,"know","Factive","negation","A: Okay. So Frank, what, uh, type of, uh, budget do you or your family have? B:","Well, uh I don't know that we really have a budget.","Well, uh I don't know that we really have a budget.","compl","COMPLEMENT",-1.625,1.06066017177982,1.125
"83",103,"believe","Non-Factive","negation","B: I don't know how my parents did it. A: Yeah. B: I mean, there were five of us and I don't recall, you know, wanting anything in particular. Uh, but I don't know how my father did it. He worked at a truck line and he just didn't make that kind of money with five children. But we did okay. We had a house and a home and, but now, my wife and I both work","but now, my wife and I both work and I don't believe we have as much as my parents did.","I don't believe we have as much as my parents did","broad","BROAD",-2,0.534522483824849,0.285714285714286
"84",104,"know","Factive","negation","B: I think they should be randomly drug tested. A: Yeah. B: I believe, full force in that. A: Yeah. B:","I don't know that I believe every secretary in every company needs to be.","I don't know that I believe every secretary in every company needs to be.","compl","COMPLEMENT",-1.81818181818182,0.750757193529548,0.563636363636364
"85",105,"think","Non-Factive","negation","A: Well, how do you feel about the immigration laws? B: At, currently, I think they are a little restrictive. Uh, particularly for, uh, certain ethnic groups or from certain countries. Um, I think we should permit, uh, more immigration from eastern Europe, for example, uh, particularly uh, the Jewish, uh, uh, people from Russia. I think we could permit more of them in than we have permitted in the last, uh, several years. And, I think we have, uh, uh, too much restriction uh, on the Orientals also, but, of course, that's just my opinion. A: Yeah,","well, I'm not real sure why I got this topic, because I don't think I checked it off on the list because I know very little about the current immigration laws.","I don't think I checked it off on the list","matrixAll","MATRIX",-1.88888888888889,1.26929551764398,1.61111111111111
"86",106,"know","Factive","negation","A: He's in here somewhere, I know he is. B: Right. A: Yeah. Well, I know how to use one. we go hunting every once in a while and he showed me how to use his guns and I really enjoy it","but, boy if someone did break in, I don't know that I could or would even grab it.","I don't know that I could or would even grab it","compl","COMPLEMENT",-0.5,1.60356745147455,2.57142857142857
"87",107,"know","Factive","negation","B: boy, he's a big one. A: he's pretty big. That's why it really surprises me, you know, that he hasn't come back, because, like I said, he's never gone away like this before, and, I would think, you know, I mean, he might could get hurt by a car or something.","he might could get hurt by a car or something. I don't know that he could really get killed that easily 'cause he is so big.","I don't know that he could really get killed that easily 'cause he is so big.","complAll","COMPLEMENT",-1.55555555555556,0.726483157256779,0.527777777777778
"88",108,"guess","Non-Factive","negation","A: As a freshman? B: Yeah. A: Yep. B: And, uh, he's pleased with his classes.","And, uh, he's pleased with his classes. I don't guess I've been in the high school long enough to know what to expect really you know, how to judge it.","I don't guess I've been in the high school long enough to know what to expect really you know, how to judge it","compl","COMPLEMENT",-1.83333333333333,1.40345893053447,1.96969696969697
"89",109,"think","Non-Factive","negation","B: I really never had anything major with my Mazda but it was a standard also and the clutch went out on it toward the end, I had it five years and the last two years it seemed to go out really easily. I think it went out twice in two years and that's a lot it shouldn't go out that much. A: Huh-uh. B: And so I went ahead and bought another standard when I bought the Honda","And so I went ahead and bought another standard when I bought the Honda but I don't think I'm going to do that again.","I don't think I'm going to do that again.","broad","BROAD",-2.55555555555556,0.52704627669473,0.277777777777778
"90",111,"think","Non-Factive","negation","A: But, uh, my only complaint is I really don't enough time to look at the articles every day and go through a paper, you know, exhaust the details. So that's why I concentrate on weekly magazines. B: Do you think that the weekly magazines provide you with as much detail information as you'd like? A: Well, yes.","I don't think I have the time to really become a student in every article.","I don't think I have the time to really become a student in every article.","broad","BROAD",-1.625,1.59798980865694,2.55357142857143
"91",113,"think","Non-Factive","negation","A: Not that they won't appoint them but there is no budget for them, I guess. and the courthouse that goes with them and the bailiffs and the uh, court clerks. B: Huh.  Yeah. Whatever. A: So it seems, uh, no,","So it seems, uh, no, I don't think I'd change it.","I don't think I'd change it.","matrixAll","MATRIX",-2.18181818181818,0.603022689155527,0.363636363636364
"92",114,"know","Factive","negation","B: it's just a great cat, but. A: Well, my personal preference is a dog.","my personal preference is, is a dog. Uh, I don't know that uh, that I'd ever want a cat.","I don't know that uh, that I'd ever want a cat","broad","BROAD",-1.75,1.83225076262581,3.35714285714286
"93",116,"realize","Factive","negation","A: Oh, oh yeah, and every time you see one hit on the side of the road you say is that my cat. B: Uh-huh. A: And you go crazy thinking it might be yours. B: Right,","well I didn't realize my husband was such a sucker for animals until I brought one home one night.","well I didn't realize my husband was such a sucker for animals until I brought one home one night.","broad","BROAD",0.777777777777778,2.53859103528797,6.44444444444444
"94",117,"see","Factive","negation","B: until they're older and then they look back. A: Yeah, it's true, um. what are some other questions they have, I'm not sure. I know my parents are growing up, I guess they never spent much time watching TV.","I guess they never spent much time watching TV. In fact, I've never seen my mom turn on the TV.","In fact, I've never seen my mom turn on the TV.","compl","COMPLEMENT",-2.5,0.52704627669473,0.277777777777778
"95",118,"say","Non-Factive","negation","B: Oh, it does. Uh, I have four sons myself, and the youngest is twenty-eight. So they are all pretty well grown up and they all went through it, you know, going through high school and everything and knock wood that, uh, they have not,","going through high school and everything and knock wood that, uh, they have not, well I won't say they didn't try it, uh.","I won't say they didn't try it","broad","BROAD",-0.909090909090909,1.44599761096244,2.09090909090909
"96",119,"say","Non-Factive","negation","A: Uh, I, the cynical side of me says that, you know, it was more for, uh, the domestic political situation than for anything else. You know, you know, and for portraying Bush is a strong President. B: Huh, yeah, okay.  Sure. A: Uh, I mean my gut feeling is that, you know, he pretty much picked the fight uh, with, um, Hussein. B: Uh-huh. A:","I mean I'm not saying at all that Hussein wasn't quite willing to enter that fight.","I'm not saying at all that Hussein wasn't quite willing to enter that fight.","complAll","COMPLEMENT",-0.666666666666667,1,1
"97",125,"think","Non-Factive","negation","A: No, I had moved away. B: No, uh-huh. A: I had taken the first one back.","I had taken the first one back. I didn't think that it heated well enough.","I didn't think that it heated well enough.","compl","COMPLEMENT",-2.90909090909091,0.301511344577764,0.0909090909090909
"98",126,"know","Factive","negation","A: and I'm just like, well, uh, I'm not even going to think much about it if you're going to treat me with this much respect even before you've gotten to know me. B: Yeah.  Right.  Right. that's basically my opinion on it, right there, is that it's just, you know, I was in the same sort of situation as, it was a job interview and then you had a physical, where you were drug tested, and it's, I just, and I know people who have been drug tested and who have not, you know, been hired by a corporation which, uh, you know, I really. The other side of it is, besides its being an invasion of personal privacy, it's my bodily fluid and I don't really want you to look at it, or something pretty basic like that, A: Uh-huh. B:","just to the fact that I don't know that it is a company's business to regulate what its employees are doing when they're not at work.","I don't know that it is a company's business to regulate what its employees are doing when they're not at work","compl","COMPLEMENT",-1.92307692307692,1.11516355015296,1.24358974358974
"99",128,"see","Factive","negation","A: I'll let you go first. B: Oh, well, what's there to say? Doesn't seem like it's being carried out very well in my opinion.","Seems like it takes so long between conviction and carrying out the penalty that I don't see that it makes any difference to sentence anybody.","I don't see that it makes any difference to sentence anybody","complAll","COMPLEMENT",-1,2.08893187146837,4.36363636363636
"100",129,"know","Factive","negation","A: See those type of people that have the most opinions, ones that don't know anything. B: Yeah. A: Well, uh, I've had teenagers and I now have grandchildren that are teenagers,","Well, uh, I've had teenagers and I now have grandchildren that are teenagers, and I don't know that it might do them a little bit of good to see the world from a different perspective.","I don't know that it might do them a little bit of good to see the world from a different perspective.","complAll","COMPLEMENT",1.9,1.19721899973786,1.43333333333333
"101",130,"think","Non-Factive","negation","A: Um, yeah, that's for sure. That's for sure, do you have any feelings as to the trends that you see? B: Well, it lo-, o-, the one trend I would say is that with so many more women choosing professional careers, there are fewer of them home in the afternoons, A: Uh-huh. B:","and I don't think it needs to be the mothers.","and I don't think it needs to be the mothers.","compl","COMPLEMENT",-1.8,2.29975844142138,5.28888888888889
"102",133,"think","Non-Factive","negation","A: Uh, well then you must know a lot more about this than I do. B: Uh, I think, uh, the system right now, you know, you know, is fine. I think it should be by a jury. I don't think the judge should have, I mean he's just there kind of like the referee. A: Uh-huh, Uh-huh. B:","Uh, I don't even think that it should be unanimous either.","Uh, I don't even think that it should be unanimous either.","matrix","MATRIX",-1.54545454545455,1.91643608626202,3.67272727272727
"103",134,"think","Non-Factive","negation","B: Uh-huh. It, I mean, I don't know, I don't think George Bush will make the American people happy with ninety-seven cents a week. A: No, no, not at all. B:","I just don't think it was a well thought out incentive.","I just don't think it was a well thought out incentive.","complAll","COMPLEMENT",-2.55555555555556,0.52704627669473,0.277777777777778
"104",136,"realize","Factive","negation","B: Schwartzkopf knew what had to be done and it's too bad that he just didn't have the ability just to do it, you know, uh, the go ahead to do it. A: Yeah. B: Because he had the fu-, he knew what was going to happen, more than any of us.","Because he had the fu-, he knew what was going to happen, more than any of us. Because I didn't realize that, um, it was going to make such a mess.","I didn't realize that, um, it was going to make such a mess.","matrix","MATRIX",-1.125,1.45773797371133,2.125
"105",138,"think","Non-Factive","negation","B: but I found that, uh, it was made of some material which actually ended up rusting uh, after, A: Oh. B: even, despite, you know, diligent washing, it got rusty after about, uh, three weeks of use.","And I don't think it was my fault because you know, I had made a point of like drying it off and cleaning it.","And I don't think it was my fault.","broad","BROAD",-2.16666666666667,0.717740562565273,0.515151515151515
"106",139,"realize","Factive","negation","A: Yes. And, oh, yeah, it's very expensive. B: Oh. A: And, uh, B:","I didn't realize it was that expensive.","I didn't realize it was that expensive.","broad","BROAD",-0.545454545454545,1.69491217257039,2.87272727272727
"107",140,"think","Non-Factive","negation","A: and if they weren't spending all the money on drug testing, people could have got a raise. So, see, you know, there's different, I think that's more of a personal view of mine other than a yes, sir, we should have drug testing because there's really a problem B: Uh-huh. A: and I know that. But then, I have other views to it. B:","I didn't think it was that expensive because my son was in probably a week and a half period.","I didn't think it was that expensive.","broad","BROAD",-1.66666666666667,1.11803398874989,1.25
"108",141,"notice","Factive","negation","A: and that rolling kind of, uh, B: Terrain. A: Yeah. is fairly famili-,. The thing that I thought was interesting was that the critics, apparently it's going to win everything. B: Really? A:","Uh, and I had been told, you know, you wouldn't notice that it was three hours long, and all this, kind of.","you wouldn't notice that it was three hours long, and all this, kind of","broad","BROAD",2,1.3228756555323,1.75
"109",142,"think","Non-Factive","negation","B: I did, too. A: I mean, it was just more for my money. B: Yeah.","I didn't think it was too long at all.","I didn't think it was too long at all.","compl","COMPLEMENT",-2.6,0.699205898780101,0.488888888888889
"110",143,"think","Non-Factive","negation","B: That's true. A: So. B: Uh, the other argument is that the death penalty is a deterrent and I really don't, uh, agree with that. I don't think anyone who would commit uh, a crime that would get them the death penalty would stop at the moment and say, well, I was about to kill and dismember this person but, oh, if they catch me they're going to kill me so I better not do it.","I just, don't think uh, that it works that way.","I just, don't think uh, that it works that way.","broad","BROAD",-1.25,1.95982373975546,3.84090909090909
"111",144,"think","Non-Factive","negation","B: Uh-huh, uh-huh. How's that? I haven't seen that. A: I like it a lot. It's real different.","It's real different. In fact, they never thought it would be a hit.","In fact, they never thought it would be a hit.","matrixAll","MATRIX",-0.8,1.93218356615859,3.73333333333333
"112",145,"think","Non-Factive","negation","A: I don't think it's done. I don't think we run it as a deterrent. I mean people say that, but, I mean, if it was really a deterrent, I mean I think like horse thieves in the old west, you know, they saw other horse thieves hanging by the necks every once in a while. B: Uh-huh. A: And if it was really seriously going to be a deterrent, I would think that it would be public.","I mean I don't think it would be this private thing because nobody ever sees it.","I don't think it would be this private thing because nobody ever sees it","complAll","COMPLEMENT",-1.58333333333333,1.62135371797393,2.62878787878788
"113",146,"think","Non-Factive","negation","B: but, you know, for other kind of cans, it'd probably only take aluminum cans like that, don't they. A: Yeah, I don't, yeah,","I don't think it would crush steel cans.","I don't think it would crush steel cans.","matrix","MATRIX",-2.22222222222222,0.666666666666667,0.444444444444444
"114",148,"occur","Non-Factive","negation","B: That throws the budget out of whack real fast. A: Well, we actually planned for about one year. B: Oh, good. A:","Uh, thank God because, it never occurred to us that it would take seven months.","it never occurred to us that it would take seven months","matrixAll","MATRIX",-0.666666666666667,2.34520787991171,5.5
"115",149,"think","Non-Factive","negation","B: yeah, obviously we don't have any and I think that's part of the role reversal, is it's okay to get married and not have kids. A: Oh yeah. B: And I think society for such a long time said, well, you know, you're married, now you need to have your family","and I don't think it's been 'til recently that they had decided that two people was a family.","and I don't think it's been 'til recently that they had decided that two people was a family.","complAll","COMPLEMENT",2.11111111111111,0.600925212577332,0.361111111111111
"116",150,"think","Non-Factive","negation","B: That's true. A: So. B: Uh, the other argument is that the death penalty is a deterrent and I really don't, uh, agree with that. I don't think anyone who would commit uh, a crime that would get them the death penalty would stop at the moment and say, well, I was about to kill and dismember this person but, oh, if they catch me they're going to kill me so I better not do it. I just, don't think uh, that it works that way. A: Yeah. ","I don't think it's done.","I don't think it's done.","compl","COMPLEMENT",-1.88888888888889,0.600925212577332,0.361111111111111
"117",152,"think","Non-Factive","negation","A: No, I don't either. B: Uh, I mean it's, you know it, A:","I don't think it's going to change very much.","I don't think it's going to change very much.","complAll","COMPLEMENT",-1.63636363636364,1.6292775867069,2.65454545454545
"118",155,"seem","Non-Factive","negation","A: for the moment, and that's what really is getting me about what George Bush's stand on the budget is right now is that he is saying, I am going to give you this ludicrous little tax cut so that you'll be happy come November, and you'll elect me again B: Uh-huh. Uh-huh. A: and then I'm going to go on and just forget everything that I said B: Uh-huh. A:","or you know, it doesn't seem that it's gonna make much of a difference.","it doesn't seem that it's gonna make much of a difference","broad","BROAD",-1.5,1.77951304200522,3.16666666666667
"119",156,"think","Non-Factive","negation","B: Yeah. Well, that's the guy that counts. A: Yes. But, maybe we'll get your guy. B:","Oh, I don't think Jim Kelly's about to be swayed away from the Bills any time.","Oh, I don't think Jim Kelly's about to be swayed away from the Bills any time.","compl","COMPLEMENT",-2,1.30930734141595,1.71428571428571
"120",157,"know","Factive","negation","A: Uh, such like, maybe in murder they get to choose whether it's, uh, premeditated or one or two of the lesser degrees. The other thing that juries are restricted on and at least to me this has been one of the frustrating things even in my own experiences, that you usually don't get to hear all the information. B: Yeah. A: It's what information is presented","and, uh, I don't know that juries have a right to know more because in a sense we call those safeguards.","and, uh, I don't know that juries have a right to know more because in a sense we call those safeguards.","complAll","COMPLEMENT",-1,1.0690449676497,1.14285714285714
"121",159,"think","Non-Factive","negation","A: Yeah, but that, doesn't mean, B: But that doesn't eliminate it, does it? A:","I don't think making laws will stop it.","I don't think making laws will stop it.","complAll","COMPLEMENT",-1.77777777777778,0.833333333333333,0.694444444444444
"122",161,"think","Non-Factive","negation","B: Yeah. How about MISTER ROGERS, is he still around? A: Yes. Yeah. They still show MISTER ROGERS.","They still show Mister Rogers, I don't think he's making new ones.","I don't think he's making new ones.","matrix","MATRIX",-1.625,1.06066017177982,1.125
"123",162,"think","Non-Factive","negation","A: What do you think about Robin Hood? B: Well, I work for school district and, uh, it has hurt us a lot. Uh, there has to be some way, I think, to equalize education opportunities. But, uh, you know, I think, especially big government, tends to think that the solution to everything is to throw money at it. And I don't, you know, that's just not true.","That's just not true, I don't think, you know, I don't think money is gonna take the place of intelligence or, uh, problem solving skills.","I don't think money is gonna take the place of intelligence or, uh, problem solving skills","complAll","COMPLEMENT",-2.66666666666667,0.5,0.25
"124",164,"believe","Non-Factive","negation","B: That sounds really good. I read a thing, I don't even remember if it was in the DALLASITE or the INSITE one, about uh, companies allowing you, and they said that TI was looking into it, to purchase extra vacation days. Which I thought sounded like a good idea. You know, if you've been there, you know, under five years you get two weeks of vacation but that's really not enough and you want an extra week, then you can purchase an extra week of vacation by saying, okay, I'm going to want an extra five days this year and they'll take a set amount out of each paycheck, you know, and they're deducting it all along, so you can have an extra five days off and be paid for them at the time, you know, you're really not being paid for them, the money is actually coming out of your own pocket, but it's coming out a little bit at a time instead of all at once, you know. So, that is kind of an idea that a lot of people sounded like that they were really interested in and TI said that they were looking into something like that so, A: Well, I could certainly, personally stand seeing them go to a standardized compensatory time for overtime. B: Uh-huh.  Uh-huh. A:","And I don't believe any of us would have to purchase any extra vacation days, if they did that.","And I don't believe any of us would have to purchase any extra vacation days, if they did that.","complAll","COMPLEMENT",2.25,0.707106781186548,0.5
"125",166,"realize","Factive","negation","B: Yeah, and the ground will filter some of it but not all of it. A: No, not when you figure,","No, not when you figure, I didn't realize one cow produces that much manure.","I didn't realize one cow produces that much manure.","complAll","COMPLEMENT",1.875,0.991031208965115,0.982142857142857
"126",168,"believe","Non-Factive","negation","A: Yeah, that's crazy. B: and then you come here in the Dallas area, um,","and then you come here in the Dallas area, um, I don't believe that people should be allowed to carry guns in their vehicles.","I don't believe that people should be allowed to carry guns in their vehicles","matrix","MATRIX",-2.53846153846154,0.660225291773525,0.435897435897436
"127",169,"seem","Non-Factive","negation","A: But, I mean, uh, is that a reflection then of what is really happening in the real world? If they keep giving everybody hundred year sentences,","and the people in various states, it does not seem that people want to be taxed to build more prisons.","it does not seem that people want to be taxed to build more prisons","complAll","COMPLEMENT",-2,0.925820099772551,0.857142857142857
"128",173,"know","Factive","negation","B: I think I've been trout fishing once. I've never fly fished. Have you fly fished? A: Uh, no I haven't.","No I haven't, I don't know that I could do that.","I don't know that I could do that","compl","COMPLEMENT",-0.9,0.875595035770913,0.766666666666667
"129",183,"think","Non-Factive","negation","B: Yeah. How about you? A: Oh, uh, I'm very varied as well.","I'm very varied as well, uh I don't think I've ever met a type of music I don't like except for, uh, maybe, you know, heavy metal and that.","I don't think I've ever met a type of music I don't like except for, uh, maybe, you know, heavy metal and that","compl","COMPLEMENT",-1,2.17944947177034,4.75
"130",186,"think","Non-Factive","negation","B: You never see them on nationally basketball. A: You know, that's true.","You know, that's true, I don't think I've ever seen them nationally on basketball.","I don't think I've ever seen them nationally on basketball","broad","BROAD",-2.2,0.788810637746616,0.622222222222222
"131",187,"think","Non-Factive","negation","A: That's not too bad. Golly the Golden Retrievers are good dogs too, they're kind of like, get that permanent smile to them, B: Yeah, right. A: they're always happy.","They're always happy, I don't think I've ever seen them not look happy.","I don't think I've ever seen them not look happy.","complAll","COMPLEMENT",-0.875,2.69589635239509,7.26785714285714
"132",188,"think","Non-Factive","negation","B: Yeah. It's, uh, I have modem night computer so I can log into the, uh, network at Georgia Tech and access my account through there, which can be useful. But, uh, yeah that and word processing is while I tend to, I mean, obviously, I do almost all of my report writing on my computer, uh, whether it's term papers or even some smaller homework assignments. A: Uh-huh. B: So it's I don't know, really become my mainstay I guess. I can't even remember,","I don't think I've ever used a typewriter in my life to do a report, because my family, when I was growing up, we got a basic computer, TRS Eighty when they first came out.","I don't think I've ever used a typewriter in my life to do a report.","complAll","COMPLEMENT",-2.25,1.38873014965883,1.92857142857143
"133",190,"think","Non-Factive","negation","A: But it seems to me uh, that the budget is so out of hand, and especially now that they say, Okay, the cold war is over and we're supposed to be getting a peace dividend you know of X number of billion, trillion dollars a year. B: Uh-huh. A: Well, I'd really like to know where that money is actually going to go,","I'd really like to know where that money is actually going to go, because, in my opinion, I don't think I'm ever going to see any of this so-called peace dividend.","in my opinion, I don't think I'm ever going to see any of this so-called peace dividend","complAll","COMPLEMENT",-1.5,2.22361067735439,4.94444444444444
"134",192,"think","Non-Factive","negation","A: Well, uh, uh, do you ever use the A T M machines? B: No, I never do. My husband does at work just to get cash out, but, uh, I take the checkbook so if I need cash, I just tell him and he gets it out","I take the checkbook so if I need cash, I just tell him and he gets it out, and I don't even think I know my number.","I don't even think I know my number","compl","COMPLEMENT",-0.8,1.3984117975602,1.95555555555556
"135",193,"think","Non-Factive","negation","A: so it's nice to get away. It's just amazing, how much you miss. B: Yeah, it, Yeah, it, yeah, it really is. I mean, I don't think I ever see the Little Dipper, you hear people talk about the Little Dipper. A: Huh. Uh-huh. B:","But I don't think I ever see it except when I go get out of the city and go camping in the desert or in the mountains.","But I don't think I ever see it except when I go get out of the city and go camping in the desert or in the mountains.","complAll","COMPLEMENT",-1.625,1.76776695296637,3.125
"136",194,"think","Non-Factive","negation","A: And I don't think that's right. I think we should do what Europe does and include cultural activities in our school system. B: Oh, likewise. A:","I don't think I should have to pay for dancing lessons, gymnastics, piano.","I don't think I should have to pay for dancing lessons, gymnastics, piano.","compl","COMPLEMENT",-2.11111111111111,1.96497102042527,3.86111111111111
"137",198,"think","Non-Factive","negation","B: I remember I went to see DON QUIXOTE over there when it came out. It came out right around the time, with Sophia Loren and that was a riot to see that. A: You know something,","You know something, come to think of it, I don't think I went to the movies one time.","I don't think I went to the movies one time.","compl","COMPLEMENT",-1.5,1.51185789203691,2.28571428571429
"138",201,"think","Non-Factive","negation","B: She says that when her husband died oh, that my uncle had said that he would never put her in a rest home. So it's kind of, uh, I don't know. I mean, I don't think my parents would but she is getting pretty bad like she has to have like a little toilet right by her bed and, it's, A: Uh-huh. B: and my mom has to take care of her pretty much so it gets, I don't know. it's a hard decision,","It's a hard decision, but I don't think I would do it to my parents personally.","I don't think I would do it to my parents personally.","compl","COMPLEMENT",-2,0.5,0.25
"139",204,"think","Non-Factive","negation","B: So did I. My Masters, anyway. A: What, but, uh, when I look at it to me, uh, it doesn't really make any difference. It was a marvelous opportunity that I couldn't have done,","It was a marvelous opportunity that I couldn't have done, I don't think I would have gone on, unless I had that financial uh, easement made possible.","I don't think I would have gone on, unless I had that financial uh, easement made possible.","complAll","COMPLEMENT",-1.75,1.03509833901353,1.07142857142857
"140",208,"think","Non-Factive","negation","A: and I'm saying to myself, well, you know, you dump your little turnip off to, uh, you know, this child care place and they don't pay very much and why would they be interested in your little turnip unless, you know, one of the motivations in the hidden agenda is well that's somebody to molest, you know. B: Uh-huh. A: And, uh, that's a terrible kind of thing","And, uh, that's a terrible kind of thing, and I don't think my children have ever been subject to that.","I don't think my children have ever been subject to that","compl","COMPLEMENT",-2.33333333333333,0.866025403784439,0.75
"141",209,"think","Non-Factive","negation","B: That might be kind of tough, huh. A: It really would, yes, yes, and like I said, my sister's still in it,","my sister's still in it, and I really don't think my mother'd want to be there, either.","I really don't think my mother'd want to be there, either.","matrix","MATRIX",-1.77777777777778,1.48136573621926,2.19444444444444
"142",210,"think","Non-Factive","negation","A: and they kind of are in different spectrums, I think. Um, one of them is QUANTUM LEAP B: Okay. A: and the other one is NIGHT COURT. And I think they're real different","And I think they're real different, I mean, I don't think they have anything in common.","I don't think they have anything in common","compl","COMPLEMENT",-2.6,0.699205898780101,0.488888888888889
"143",215,"know","Factive","negation","B: Uh, do you feel that yours is invaded? A: Uh, no I wouldn't call it invading my privacy by any means. Uh, you know, I would, there's a lot of times though, uh, you get those calls you know, when you're sitting at home wanting to relax or whatnot and, you know, next thing you know, uh, someone calls and wants to sell you this or that and it's real hard to tell them, you know, that you're not interested. Or you do tell them you're not interested and they still keep asking you, you know, and keep badgering you about it, and that aggravates me.","and keep badgering you about it, and that aggravates me, but I don't know that you could call that invading my privacy.","I don't know that you could call that invading my privacy","compl","COMPLEMENT",-0.9,0.994428926011753,0.988888888888889
"144",216,"think","Non-Factive","negation","B: What am I afraid of? A: Yes. B: Um, I don't know if I'm really afraid of spending too much.","I don't know if I'm really afraid of spending too much. I just, uh, don't think that I need them, you know.","I just, uh, don't think that I need them.","compl","COMPLEMENT",-1.625,0.744023809142845,0.553571428571429
"145",217,"know","Factive","negation","A: That's fairly interesting. B: I bet that would be, rather interesting. Uh, that's, uh, self improvement, well, that's kind of a hobby but it is self improvement from the standpoint of probably relaxing, uh. A: Yeah,","I don't know that I read anything strictly labeled self improvement.","I don't know that I read anything strictly labeled self improvement.","complAll","COMPLEMENT",-1.5,1.0690449676497,1.14285714285714
"146",218,"feel","Non-Factive","negation","A: So that's not too bad. B: No, uh, I really think that, here in Indiana at least we pay uh, just too much tax. I worked in a factory, uh, last summer and, on the average, I was losing twenty percent of every paycheck to taxes","I was losing twenty percent of every paycheck to taxes, and I don't feel that I really get a whole lot of return from that.","I don't feel that I really get a whole lot of return from that","broad","BROAD",-1.5,1.4142135623731,2
"147",219,"say","Non-Factive","negation","B: They're seen as senile. A: and oh, the old-timer made with the old way and nobody respects the traditions. And, you know, it's","and nobody respects the traditions, and, you know, I'm not saying that I do either.","I'm not saying that I do either.","compl","COMPLEMENT",-0.5,2.20389266007736,4.85714285714286
"148",221,"feel","Non-Factive","negation","A: But, uh, B: Okay. Uh, uh, I've had one or two American cars I think, and they were okay. I had a Pontiac once and I never had a problem with it, but, uh, my mother had a Dodge at one point and I had driven it a few times","I had driven it a few times, and I really did not feel that I would buy a Dodge.","I really did not feel that I would buy a Dodge.","complAll","COMPLEMENT",-2.44444444444444,0.52704627669473,0.277777777777778
"149",223,"think","Non-Factive","negation","A: Not that they won't appoint them but there is no budget for them, I guess. and the courthouse that goes with them and the bailiffs and the uh, court clerks. B: Huh. Yeah. Whatever. A: So it seems, uh, no, I do not think I would change it.","The more I verbalize it, I do not think I would want to change the system.","I do not think I would want to change the system","complAll","COMPLEMENT",-2,1.69030850945703,2.85714285714286
"150",226,"hear","Non-Factive","negation","B: LITTLE MERMAID and PETER PAN I think are his two favorites that we've got. A: Uh-huh.  Uh-huh. And I think there's some good Disney movies fixing to come out on video, uh, SHIPWRECKED. B:","Oh, I didn't hear that was coming out.","Oh, I didn't hear that was coming out.","matrix","MATRIX",-0.777777777777778,1.64147630029935,2.69444444444444
"151",227,"think","Non-Factive","negation","B: I think that not only applies inside the public school system, but in society itself. there's been too much negative reinforcement. How much, like, the caught being good slips. How about, just the John Q citizen out there on the street? A: Yeah, well that's true. I think, really though, I mean, that's one thing that, I mean, my kids definitely get spanked when they need to be spanked. But I really do try to use positive, uh, reinforcement with them at home, also. And it really helps. And I mean, they don't get spanked very often, but they do when they deserve it, you know.","they don't get spanked very often, but they do when they deserve it, you know, but, uh, I don't think any kid should be exempt from being spanked.","I don't think any kid should be exempt from being spanked","compl","COMPLEMENT",-2.3,1.88856206322871,3.56666666666667
"152",230,"think","Non-Factive","negation","A:","I don't think anybody pays too little.","I don't think anybody pays too little.","compl","COMPLEMENT",-1.5,1.71593835683117,2.94444444444444
"153",231,"think","Non-Factive","negation","A: It's divided, yeah. B: Wow! A: It really is, so we've got our Cowboys here","We've got our Cowboys here, and, uh, I don't think anybody roots differently.","I don't think anybody roots differently","broad","BROAD",-1.875,0.83452296039628,0.696428571428571
